text,sentimen
"Lagu ini sangat menyentuh hati. This song really touches my heart.",positif
"Saya benci lagu ini, terlalu berisik. I hate this song, it's too noisy.",negatif
"Musik ini biasa saja, tidak ada yang spesial. This music is just okay, nothing special.",netral
"Melodi yang indah dan lirik yang bermakna. Beautiful melody and meaningful lyrics.",positif
"Vokalnya sangat buruk, membuat saya sakit kepala. The vocals are terrible, giving me a headache.",negatif
"Saya tidak punya perasaan khusus tentang lagu ini. I don't have any special feelings about this song.",netral
"Lagu ini membuat saya ingin menari! This song makes me want to dance!",positif
"Ritme yang membosankan dan repetitif. Boring and repetitive rhythm.",negatif
"Musik latar yang bagus untuk belajar. Good background music for studying.",netral
"Saya sangat terkesan dengan aransemen musiknya. I am very impressed with the musical arrangement.",positif
"Lagu ini terlalu sentimental dan membuat saya sedih. This song is too sentimental and makes me sad.",negatif
"Saya tidak begitu memperhatikan lagu ini. I didn't really pay attention to this song.",netral
"Energi lagu ini sangat membangkitkan semangat. The energy of this song is very uplifting.",positif
"Kualitas suara sangat buruk. The sound quality is very bad.",negatif
"Musik ini cocok untuk bersantai. This music is suitable for relaxing.",netral
"Saya suka sekali dengan beat yang catchy ini. I really like this catchy beat.",positif
"Lagu ini terlalu panjang dan membosankan. This song is too long and boring.",negatif
"Saya tidak tahu lagu ini dari mana. I don't know where this song came from.",netral
"Liriknya sangat puitis dan indah. The lyrics are very poetic and beautiful.",positif
"Saya tidak mengerti liriknya sama sekali. I don't understand the lyrics at all.",negatif
"Musik ini cukup menghibur. This music is quite entertaining.",netral
"Saya merasa sangat bahagia mendengarkan lagu ini. I feel very happy listening to this song.",positif
"Lagu ini membuat saya merasa cemas. This song makes me feel anxious.",negatif
"Saya tidak punya opini tentang lagu ini. I don't have an opinion about this song.",netral
"Instrumentasi yang luar biasa dan kreatif. Amazing and creative instrumentation.",positif
"Lagu ini terlalu komersial dan tidak orisinal. This song is too commercial and not original.",negatif
"Musik ini tidak terlalu menarik perhatian saya. This music doesn't really grab my attention.",netral
"Saya sangat menikmati melodi yang menenangkan ini. I really enjoy this soothing melody.",positif
"Lagu ini terlalu keras dan mengganggu. This song is too loud and disturbing.",negatif
"Saya tidak merasa terhubung dengan lagu ini. I don't feel connected to this song.",netral
"Lagu ini adalah mahakarya yang sesungguhnya. This song is a true masterpiece.",positif
"Saya merasa lagu ini sangat mengecewakan. I feel this song is very disappointing.",negatif
"Musik ini tidak buruk, tapi juga tidak hebat. This music is not bad, but it's not great either.",netral
"Saya suka dengan energi positif dari lagu ini. I like the positive energy of this song.",positif
"Lagu ini membuat saya merasa sedih dan putus asa. This song makes me feel sad and hopeless.",negatif
