review,sentiment
"Makanan di sini enak banget, rasanya bikin nagih!",positif
"Pelayanannya sangat ramah dan cepat.",positif
"Suasananya nyaman, cocok untuk makan bersama keluarga.",positif
"Porsinya besar dengan harga yang terjangkau.",positif
"Saya sangat merekomendasikan tempat ini!",positif
"Rasanya biasa saja, tidak ada yang istimewa.",netral
"Harganya cukup mahal untuk kualitas makanan yang diberikan.",negatif
"Pelayanannya lambat dan tidak responsif.",negatif
"Makanan datang dalam keadaan dingin.",negatif
"Saya tidak akan kembali lagi ke sini.",negatif
"Nasi gorengnya lezat dengan bumbu yang pas.",positif
"Minumannya segar dan harganya terjangkau.",positif
"Tempatnya bersih dan rapi.",positif
"Saya suka dengan pilihan menu yang beragam.",positif
"Kue cokelatnya sangat lembut dan nikmat.",positif
"Rasanya lumayan, tapi tidak terlalu berkesan.",netral
"Penyajiannya kurang menarik.",negatif
"Saya menemukan rambut di dalam makanan saya!",negatif
"Toiletnya kotor dan tidak terawat.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Sop buahnya segar dan menyehatkan.",positif
"Ayam gorengnya renyah dan gurih.",positif
"Saladnya segar dengan dressing yang lezat.",positif
"Saya menikmati makan malam di sini.",positif
"Pizzanya enak dengan topping yang melimpah.",positif
"Rasanya standar, tidak terlalu enak atau terlalu buruk.",netral
"Porsinya terlalu kecil untuk harga segitu.",negatif
"Saya harus menunggu terlalu lama untuk makanannya datang.",negatif
"Karyawannya terlihat tidak profesional.",negatif
"Saya merasa kecewa dengan pengalaman makan di sini.",negatif
"Es krimnya dingin dan menyegarkan.",positif
"Burger-nya juicy dan lezat.",positif
"Kentang gorengnya renyah dan asin.",positif
"Saya sangat puas dengan pelayanan di sini.",positif
"Restoran ini memiliki dekorasi yang indah.",positif
"Rasanya hambar dan kurang bumbu.",negatif
"Saya merasa mual setelah makan di sini.",negatif
"Tempatnya terlalu berisik.",negatif
"Saya merasa tidak bisa menikmati makanan karena suasananya.",negatif
"Saya akan merekomendasikan restoran ini kepada teman-teman saya.",positif
"Steaknya empuk dan juicy.",positif
"Pasta-nya dimasak dengan sempurna.",positif
"Saya suka dengan suasana romantis di restoran ini.",positif
"Dessert-nya sangat menggugah selera.",positif
"Rasanya tidak sesuai dengan harapan saya.",negatif
"Saya menemukan benda asing di dalam minuman saya.",negatif
"Pelayanannya sangat buruk.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Saya tidak akan pernah kembali ke sini lagi.",negatif
"Mie ayamnya enak dan kuahnya gurih.",positif
"Bakso-nya kenyal dan lezat.",positif
"Sate-nya empuk dan bumbunya meresap.",positif
"Saya suka dengan sambal yang pedasnya pas.",positif
"Gado-gadonya segar dengan bumbu kacang yang nikmat.",positif
"Rasanya agak aneh, tidak seperti yang saya harapkan.",netral
"Harganya terlalu mahal untuk makanan kaki lima.",negatif
"Saya merasa sakit perut setelah makan di sini.",negatif
"Tempatnya kotor dan banyak lalat.",negatif
"Saya merasa tidak aman dengan kebersihan makanan di sini.",negatif
"Soto ayamnya segar dan kuahnya kaya rasa.",positif
"Rawon-nya enak dengan daging yang empuk.",positif
"Pecel lelenya renyah dan bumbunya meresap.",positif
"Saya suka dengan lalapan yang segar.",positif
"Nasi uduknya harum dan lezat.",positif
"Rasanya terlalu manis.",negatif
"Saya merasa terlalu kenyang setelah makan di sini.",netral
"Porsinya terlalu kecil.",negatif
"Saya tidak suka dengan rasa makanannya.",negatif
"Saya merasa tidak nyaman dengan pelayanan di sini.",negatif
"Ayam bakar-nya lezat dan bumbunya meresap.",positif
"Ikan goreng-nya renyah dan segar.",positif
"Sayur asem-nya segar dan kuahnya asam manis.",positif
"Saya suka dengan kerupuk yang renyah.",positif
"Tempe mendoan-nya enak dan gurih.",positif
"Rasanya kurang asin.",negatif
"Saya merasa bosan dengan menu yang itu-itu saja.",netral
"Saya tidak suka dengan tekstur makanan ini.",negatif
"Saya merasa tidak puas dengan pelayanan di sini.",negatif
"Saya tidak akan merekomendasikan tempat ini kepada siapa pun.",negatif
"Dimsum-nya enak dan variatif.",positif
"Bubur ayamnya hangat dan lezat.",positif
"Lontong sayurnya segar dan kuahnya gurih.",positif
"Saya suka dengan acar yang pedasnya pas.",positif
"Ketopraknya enak dengan bumbu kacang yang nikmat.",positif
"Rasanya terlalu pedas.",negatif
"Saya merasa mulas setelah makan di sini.",negatif
"Tempatnya terlalu ramai.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Martabak manisnya enak dan toppingnya melimpah.",positif
"Bandrek-nya hangat dan menenangkan.",positif
"Bajigur-nya manis dan gurih.",positif
"Saya suka dengan jahe yang menghangatkan.",positif
"Es cendolnya segar dan manis.",positif
"Rasanya terlalu hambar.",negatif
"Saya merasa tidak nyaman dengan kebersihan tempat ini.",negatif
"Porsinya terlalu kecil.",negatif
"Saya merasa tidak puas dengan pelayanan di sini.",negatif
"Saya tidak akan kembali lagi ke sini.",negatif
"Kopi susunya enak dan creamy.",positif
"Teh tarik-nya manis dan segar.",positif
"Jus alpukanya segar dan dingin.",positif
"Saya suka dengan es batu yang banyak.",positif
"Smoothie mangganya enak dan sehat.",positif
"Rasanya terlalu asam.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Penyajiannya lambat.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Saya merasa kecewa dengan pengalaman makan di sini.",negatif
"Roti bakarnya enak dengan selai yang lezat.",positif
"Sandwich-nya segar dengan isian yang beragam.",positif
"Salad buahnya segar dan menyehatkan.",positif
"Saya suka dengan saus yang creamy.",positif
"Yogurt-nya enak dan menyehatkan.",positif
"Rasanya terlalu manis.",negatif
"Saya merasa mual setelah makan di sini.",negatif
"Tempatnya kotor dan banyak sampah.",negatif
"Saya merasa tidak aman dengan kebersihan makanan di sini.",negatif
"Saya tidak akan merekomendasikan tempat ini kepada siapa pun.",negatif
"Nasi padangnya enak dengan rendang yang empuk.",positif
"Gulai ayamnya lezat dan kuahnya kaya rasa.",positif
"Sate padangnya empuk dan bumbunya meresap.",positif
"Saya suka dengan sambal ijo yang pedasnya pas.",positif
"Ayam pop-nya renyah dan lezat.",positif
"Rasanya kurang pedas.",negatif
"Saya merasa terlalu kenyang setelah makan di sini.",netral
"Porsinya terlalu kecil.",negatif
"Saya tidak suka dengan rasa makanannya.",negatif
"Saya merasa tidak nyaman dengan pelayanan di sini.",negatif
"Sate kambingnya enak dan empuk.",positif
"Gulai kambingnya lezat dan kuahnya kaya rasa.",positif
"Tengklengnya enak dengan daging yang empuk.",positif
"Saya suka dengan bumbu yang meresap.",positif
"Soto betawi-nya enak dengan santan yang kental.",positif
"Rasanya terlalu berminyak.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Penyajiannya lambat.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Saya merasa kecewa dengan pengalaman makan di sini.",negatif
"Bakmie jawa-nya enak dan kuahnya gurih.",positif
"Nasi goreng jawa-nya lezat dan pedas.",positif
"Soto ayam ambengan-nya enak dengan kuahnya yang segar.",positif
"Saya suka dengan kerupuk udangnya yang renyah.",positif
"Pecel madiun-nya enak dengan bumbu kacangnya yang khas.",positif
"Rasanya terlalu asin.",negatif
"Saya merasa mulas setelah makan di sini.",negatif
"Tempatnya terlalu berisik.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Saya merasa tidak aman dengan kebersihan makanan di sini.",negatif
"Ayam geprek-nya enak dan pedasnya nampol.",positif
"Nasi goreng ayam geprek-nya lezat dan bikin ketagihan.",positif
"Indomie goreng ayam geprek-nya enak dan praktis.",positif
"Saya suka dengan sambal yang super pedas.",positif
"Es teh manisnya segar dan dingin.",positif
"Rasanya terlalu pedas untuk saya.",negatif
"Saya merasa sakit perut setelah makan di sini.",negatif
"Porsinya terlalu kecil.",negatif
"Saya merasa tidak puas dengan pelayanan di sini.",negatif
"Saya tidak akan kembali lagi ke sini.",negatif
"Sushi-nya segar dan enak.",positif
"Ramen-nya lezat dan kuahnya kaya rasa.",positif
"Tempura-nya renyah dan tidak berminyak.",positif
"Saya suka dengan wasabi yang pedasnya pas.",positif
"Miso soup-nya hangat dan menenangkan.",positif
"Rasanya terlalu asin.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Penyajiannya lambat.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Saya merasa kecewa dengan pengalaman makan di sini.",negatif
"Pizza hut-nya enak dan toppingnya melimpah.",positif
"KFC-nya renyah dan lezat.",positif
"McDonald's-nya praktis dan cepat.",positif
"Saya suka dengan saus sambalnya yang pedas.",positif
"Burger king-nya enak dan porsinya besar.",positif
"Rasanya terlalu berminyak.",negatif
"Saya merasa tidak nyaman dengan kebersihan tempat ini.",negatif
"Porsinya terlalu kecil.",negatif
"Saya merasa tidak puas dengan pelayanan di sini.",negatif
"Saya tidak akan merekomendasikan tempat ini kepada siapa pun.",negatif
"Warung nasi ampera-nya enak dan harganya terjangkau.",positif
"Warung soto lamongan-nya lezat dan kuahnya segar.",positif
"Warung pecel lele-nya renyah dan bumbunya meresap.",positif
"Saya suka dengan sambal terasinya yang pedasnya pas.",positif
"Warung nasi uduk-nya harum dan lezat.",positif
"Rasanya kurang bumbu.",negatif
"Saya merasa tidak nyaman dengan suasananya.",negatif
"Penyajiannya lambat.",negatif
"Saya merasa tidak dihargai sebagai pelanggan.",negatif
"Saya merasa kecewa dengan pengalaman makan di sini.",negatif
"Bubur kacang hijau-nya enak dan manis.",positif
"Es campur-nya segar dan dingin.",positif
"Kolak pisang-nya hangat dan lezat.",positif
"Saya suka dengan santannya yang kental.",positif
"Cendol-nya enak dan manisnya pas.",positif
"Rasanya terlalu manis.",negatif
"Saya merasa mual setelah makan di sini.",negatif
"Tempatnya kotor dan banyak lalat.",negatif
"Saya merasa tidak aman dengan kebersihan makanan di sini.",negatif
"Saya tidak akan kembali lagi ke sini.",negatif
"Salad sayur-nya segar dan menyehatkan.",positif
